Unnamed: 0,Tenure,Gender,EducationLevel,LoanStatus,NetPromoterScore,TransactionFrequency,Surname,Age,Geography,ComplaintsCount,HasCrCard,EstimatedSalary,IsActiveMember,AvgTransactionAmount,CustomerSegment,MaritalStatus,DigitalEngagementScore,ID,CreditScore,SavingsAccountFlag,Balance,NumOfProducts,Exited
1015,3.0,Female,University,,10.0,,,,France,,,67110.59,1.0,207.990199064698,Mass Market,Married,,,,1.0,136188.78,1.0,1
1016,2.0,Female,High School,Active loan,7.0,40.0,Lai,59.0,France,,1.0,179673.11,0.0,121.376947574778,,Single,47.0,3386.0,708.0,0.0,,1.0,1
1017,1.0,Male,University,No loan,8.0,,,,,0.0,1.0,27619.06,0.0,,Mass Market,Married,81.0,3255.0,678.0,,117864.85,,0
1018,1.0,Male,High School,,,24.0,Gould,,,0.0,1.0,16897.19,1.0,73.1450992293458,Mass Market,Married,,5016.0,679.0,1.0,0.0,1.0,0
1019,1.0,,Other,,,,,21.0,France,,1.0,,1.0,105.677830743005,,,74.0,,693.0,,0.0,2.0,0
1020,9.0,,Postgraduate,,1.0,30.0,,30.0,Germany,2.0,1.0,74169.13,1.0,135.578888997691,High Net Worth,Divorced,69.0,,628.0,0.0,,2.0,0
1021,8.0,Female,University,No loan,10.0,23.0,,43.0,France,0.0,0.0,10350.74,1.0,148.243270623071,Mass Market,Married,63.0,624.0,,1.0,145618.37,,0
1022,3.0,Male,High School,No loan,9.0,,Moran,35.0,,0.0,,,1.0,,,,,1890.0,584.0,1.0,,,0
1023,5.0,Male,High School,No loan,5.0,,,,France,0.0,,98896.06,1.0,32.2011753351765,Affluent,Single,88.0,5585.0,714.0,,141173.03,1.0,0
1024,9.0,,High School,Active loan,5.0,35.0,,29.0,France,0.0,0.0,,,,Affluent,,79.0,4577.0,711.0,1.0,0.0,2.0,0
1025,,Male,University,,,22.0,Pan,,France,,1.0,,,75.3647327151224,Mass Market,Married,63.0,3931.0,624.0,1.0,123401.43,2.0,0
1026,2.0,,University,No loan,8.0,24.0,,46.0,Germany,0.0,,,,84.0946836982444,,Married,58.0,,663.0,1.0,141726.88,1.0,0
1027,8.0,,University,No loan,10.0,40.0,,,,0.0,,147342.03,0.0,63.1073228047229,Mass Market,Married,,4090.0,844.0,1.0,0.0,2.0,0
1028,6.0,,University,No loan,,37.0,Akubundu,24.0,,0.0,,13159.9,1.0,203.044950766397,Mass Market,,66.0,5473.0,850.0,,0.0,2.0,0
1029,5.0,Male,University,,,32.0,De Luca,62.0,Spain,0.0,0.0,61513.87,,70.2061527829544,,,51.0,2926.0,730.0,,112181.08,,0
1030,9.0,Female,Other,,0.0,35.0,Ch'iu,32.0,,4.0,,53931.05,0.0,108.143476824553,,Widowed,87.0,909.0,593.0,0.0,134096.53,2.0,1
1031,,,,No loan,8.0,27.0,Barese,19.0,France,0.0,0.0,22101.86,1.0,93.1235275329164,Mass Market,Married,65.0,,,,0.0,2.0,0
1032,,Male,University,No loan,10.0,23.0,,36.0,France,0.0,0.0,,1.0,126.653793545742,,Married,58.0,5248.0,,1.0,0.0,2.0,0
1033,6.0,Male,,,,23.0,Trentino,,France,2.0,,3449.22,1.0,77.6907277420576,High Net Worth,,66.0,,645.0,,155417.61,1.0,0
1034,8.0,Male,,No loan,,26.0,Chandler,41.0,,0.0,1.0,18510.41,0.0,117.005020722795,Mass Market,Married,,1217.0,,1.0,107525.07,1.0,0
1035,6.0,Male,Postgraduate,,1.0,20.0,Ritchie,39.0,France,2.0,,86767.48,1.0,,,Divorced,95.0,,,0.0,0.0,2.0,0
1036,3.0,Male,University,,,,,,,0.0,1.0,,0.0,80.5625977198786,,,,,772.0,1.0,75075.31,2.0,1
1037,,,University,No loan,,30.0,Nwokezuike,44.0,Spain,,,79082.76,0.0,57.5075043957446,Mass Market,,77.0,,629.0,1.0,125512.98,,0
1038,1.0,Male,University,,10.0,25.0,Alexander,52.0,France,0.0,1.0,27445.4,,,Mass Market,,53.0,2053.0,527.0,1.0,139781.06,1.0,1
1039,4.0,Male,High School,No loan,9.0,33.0,Pan,35.0,France,0.0,0.0,,0.0,160.61372250384,Mass Market,Married,,5627.0,497.0,1.0,0.0,1.0,0
1040,,Male,University,No loan,,,,35.0,,0.0,1.0,133617.43,,97.6436917040193,Mass Market,Married,44.0,6056.0,745.0,1.0,,,0
1041,5.0,,University,No loan,10.0,,Marshall,22.0,Spain,0.0,,,,69.8414918246378,Mass Market,,53.0,1196.0,686.0,1.0,,2.0,0
1042,,Male,Postgraduate,Default risk,,25.0,,37.0,Spain,2.0,1.0,,0.0,132.32816228329,High Net Worth,,72.0,4239.0,,0.0,0.0,,0
1043,,Female,,Default risk,,,Wentcher,,Germany,,,110035.88,1.0,40.5741650344318,,Widowed,,,736.0,0.0,103914.17,,1
1044,9.0,Female,,,5.0,31.0,,38.0,,0.0,1.0,,0.0,86.6658295411228,Affluent,,,3329.0,703.0,1.0,99167.54,1.0,0
1045,5.0,Female,University,No loan,10.0,33.0,Dumolo,31.0,Spain,0.0,0.0,63736.36,0.0,149.177987191764,Mass Market,,,,,,0.0,,0
1046,6.0,Female,High School,No loan,2.0,,,44.0,France,,1.0,,,108.154536736099,,Single,65.0,,658.0,1.0,148481.09,,0
1047,1.0,Male,University,No loan,10.0,,Cartwright,30.0,France,0.0,,126812.85,,82.6940050874081,Mass Market,Married,46.0,2283.0,524.0,1.0,,2.0,0
1048,5.0,Female,,Active loan,3.0,23.0,,34.0,Germany,,0.0,,1.0,240.170828610958,High Net Worth,,,102.0,461.0,0.0,63663.93,1.0,0
1049,4.0,Male,University,No loan,9.0,32.0,Nnaemeka,33.0,,0.0,1.0,40299.23,1.0,45.2433684585108,Mass Market,Married,51.0,,621.0,1.0,0.0,,0
1050,1.0,Male,High School,Active loan,5.0,31.0,Heath,41.0,,0.0,0.0,163147.99,,60.1307868824612,,Single,72.0,2805.0,483.0,1.0,,,1
1051,3.0,Male,Postgraduate,Active loan,7.0,38.0,Chia,45.0,France,1.0,0.0,60151.77,,245.100767514873,,Divorced,50.0,1654.0,824.0,0.0,129209.48,,0
1052,,Male,,Active loan,,29.0,Field,,France,0.0,0.0,,0.0,71.3595476814644,,,87.0,3913.0,563.0,0.0,106250.72,1.0,0
1053,3.0,,High School,Active loan,5.0,30.0,,20.0,Spain,0.0,,,,198.801727829983,Affluent,Single,,2537.0,714.0,1.0,0.0,,0
1054,9.0,Male,,No loan,,30.0,Storey,44.0,Spain,0.0,,,1.0,49.9397336555085,Mass Market,,,4773.0,613.0,1.0,100524.69,1.0,0
1055,5.0,,High School,Active loan,,23.0,Walker,,,,1.0,172172.7,0.0,,Affluent,Single,48.0,,717.0,1.0,103214.71,1.0,0
1056,4.0,Male,University,,10.0,,Nebechukwu,,,0.0,1.0,,,225.101315772749,,Married,69.0,1691.0,711.0,1.0,133467.77,2.0,0
1057,8.0,Male,,Active loan,7.0,30.0,Chambers,,,,,101834.58,0.0,119.832686696753,Affluent,Single,57.0,2979.0,516.0,0.0,0.0,,0
1058,2.0,,High School,No loan,2.0,,,41.0,Germany,0.0,0.0,65520.74,,102.09411951988,Affluent,Single,57.0,,688.0,1.0,112871.19,2.0,0
1059,0.0,Female,High School,Active loan,6.0,21.0,Bruno,30.0,,0.0,1.0,5790.9,0.0,132.873312502456,,Single,,2471.0,588.0,0.0,,,1
1060,6.0,,Other,,0.0,32.0,Feng,47.0,France,3.0,,187391.02,0.0,118.299546345486,,Widowed,72.0,,,0.0,,1.0,1
1061,,Female,University,,8.0,,,41.0,France,0.0,1.0,3756.65,1.0,114.015754735636,,,89.0,4408.0,,1.0,0.0,2.0,0
1062,6.0,Female,University,,,32.0,Duigan,30.0,France,0.0,,66190.21,0.0,61.6930373172022,,Married,,,573.0,1.0,0.0,2.0,0
1063,,,University,,9.0,28.0,Manna,49.0,Germany,0.0,1.0,126812.63,0.0,210.796927264992,,,68.0,4057.0,,,128504.76,1.0,1
1064,1.0,,,No loan,9.0,31.0,Baldwin,,Germany,0.0,,106061.47,1.0,92.3721602717155,Mass Market,Married,69.0,6758.0,744.0,1.0,121498.11,2.0,1
1065,,Male,University,,8.0,,Yao,41.0,,,0.0,34283.23,1.0,40.1381602861326,,Married,,187.0,,1.0,0.0,2.0,0
1066,5.0,,,,8.0,30.0,Chuang,27.0,Spain,0.0,,162501.83,1.0,67.9825205897418,Mass Market,Married,42.0,,591.0,1.0,107812.67,1.0,1
1067,1.0,Male,,,,37.0,Azubuike,54.0,,1.0,,191973.49,1.0,158.884922757744,High Net Worth,,51.0,,,,,1.0,1
1068,3.0,Female,High School,,9.0,24.0,Crawford,22.0,France,0.0,0.0,30781.77,,126.500637754412,Affluent,,47.0,719.0,,,,2.0,0
1069,,,High School,Active loan,,24.0,,,,0.0,,35588.07,0.0,103.261574223032,,Single,38.0,,621.0,,170491.84,1.0,1
1070,9.0,Male,University,No loan,10.0,30.0,Sherman,31.0,,0.0,1.0,,1.0,,Mass Market,Married,72.0,119.0,660.0,,125189.75,2.0,0
1071,2.0,,,No loan,,34.0,,35.0,Spain,0.0,1.0,104982.39,,44.4786728273556,Mass Market,Married,69.0,3415.0,709.0,,0.0,,0
1072,8.0,Female,,No loan,,,Cooper,,France,0.0,0.0,10357.03,1.0,,Mass Market,Married,35.0,501.0,580.0,1.0,0.0,,0
1073,,Male,,No loan,8.0,,,67.0,France,0.0,1.0,72318.77,1.0,49.8985966962592,Mass Market,Married,41.0,6335.0,,1.0,,3.0,0
1074,2.0,,,,1.0,26.0,,43.0,,2.0,0.0,164621.43,0.0,103.84511549191,High Net Worth,Divorced,63.0,,692.0,0.0,69014.49,2.0,0
1075,,Male,High School,No loan,2.0,,Gardner,,France,0.0,,,,,Affluent,,51.0,5520.0,583.0,,0.0,1.0,0
1076,,,,Active loan,7.0,27.0,Campbell,44.0,Spain,0.0,0.0,57338.56,0.0,109.735964477911,Affluent,,61.0,5126.0,664.0,0.0,,3.0,1
1077,7.0,Female,University,No loan,,23.0,Harris,32.0,France,0.0,0.0,,1.0,57.3347302040875,Mass Market,Married,59.0,6435.0,737.0,1.0,,2.0,0
1078,,Female,Postgraduate,Active loan,,32.0,,33.0,France,1.0,1.0,41447.86,,102.913027978857,High Net Worth,Divorced,79.0,5529.0,,,0.0,2.0,0
1079,,,Postgraduate,,,,,26.0,,1.0,0.0,28157.34,1.0,58.3024498679003,High Net Worth,,65.0,1693.0,,,,,0
1080,10.0,Female,High School,No loan,2.0,23.0,Watkins,33.0,Germany,,1.0,,1.0,99.1611340107094,Affluent,Single,,4766.0,,,,1.0,0
1081,5.0,,University,,9.0,,,30.0,Germany,,1.0,582.53,0.0,77.1077713423053,Mass Market,Married,,1230.0,,1.0,129753.69,1.0,0
1082,1.0,Male,High School,No loan,9.0,,Ch'iu,,France,0.0,1.0,172033.57,1.0,,Affluent,Single,69.0,1372.0,688.0,,0.0,2.0,0
1083,7.0,Female,University,No loan,8.0,,Yuan,57.0,France,0.0,1.0,84421.34,1.0,74.172014485736,,Married,85.0,,,1.0,71481.79,2.0,0
1084,9.0,,,No loan,8.0,,,50.0,Spain,0.0,0.0,166677.35,0.0,300.584675285208,Mass Market,Married,54.0,,735.0,1.0,,,1
1085,9.0,Female,,Active loan,,27.0,Spears,,,1.0,,,0.0,,High Net Worth,,,5729.0,629.0,0.0,123948.85,1.0,0
1086,,Female,Postgraduate,Active loan,,,Crowther,,France,1.0,0.0,168035.62,,86.7551444090646,,,,1111.0,709.0,0.0,,,1
1087,1.0,Male,Postgraduate,Active loan,3.0,31.0,,27.0,,,1.0,,0.0,81.8945577937609,High Net Worth,Divorced,47.0,4432.0,558.0,0.0,152283.39,1.0,0
1088,1.0,Male,University,,8.0,34.0,Hall,,France,0.0,,,,,Mass Market,,38.0,3172.0,,1.0,0.0,,0
1089,,,High School,Active loan,,,Akhtar,,France,0.0,1.0,2053.42,,85.7698458264583,Affluent,Single,75.0,2354.0,682.0,0.0,0.0,2.0,0
1090,9.0,Male,University,,9.0,,,57.0,Germany,0.0,1.0,103548.25,1.0,,Mass Market,,,5566.0,600.0,1.0,138456.03,2.0,0
1091,,Female,,No loan,2.0,40.0,Atkinson,36.0,,,,,1.0,82.9562750947973,,Single,45.0,,695.0,1.0,0.0,2.0,0
1092,6.0,Female,,No loan,9.0,34.0,Ahern,28.0,France,,1.0,,0.0,76.6542177717788,Mass Market,Married,68.0,3775.0,,1.0,,,0
1093,6.0,Female,,No loan,5.0,28.0,Lu,,Spain,,1.0,15306.29,1.0,,Affluent,Single,,5748.0,461.0,1.0,,,0
1094,8.0,,University,No loan,8.0,,Obiajulu,57.0,,,1.0,,1.0,153.087607609832,,Married,66.0,,,1.0,,1.0,1
1096,,Male,University,No loan,10.0,27.0,Meany,29.0,,0.0,1.0,18255.51,1.0,,Mass Market,,45.0,,706.0,1.0,,2.0,0
1097,,Female,,No loan,8.0,31.0,Salinas,39.0,Germany,0.0,1.0,96444.88,1.0,77.6245322718245,,Married,72.0,6970.0,625.0,1.0,129845.26,1.0,0
1099,1.0,Male,High School,,2.0,35.0,Liao,63.0,Spain,,1.0,126688.83,1.0,64.1134912151775,Affluent,Single,89.0,4021.0,695.0,,146202.93,1.0,1
1100,1.0,Male,University,No loan,,31.0,,21.0,France,,1.0,,,62.347658953477,Mass Market,Married,73.0,823.0,626.0,,,2.0,0
1101,1.0,Male,High School,,2.0,26.0,,,Spain,0.0,1.0,10643.38,1.0,127.569491601977,Affluent,Single,72.0,581.0,,,0.0,,0
1102,4.0,Male,University,No loan,8.0,32.0,Jamieson,34.0,France,0.0,1.0,198817.72,0.0,71.4407236647236,Mass Market,Married,,6172.0,454.0,,0.0,,0
1103,1.0,,Other,Default risk,0.0,20.0,Cockrum,,Germany,3.0,,100834.22,0.0,,High Net Worth,,,2196.0,623.0,0.0,149332.48,2.0,0
1104,8.0,Female,,Default risk,,,Kodilinyechukwu,50.0,France,3.0,,3159.15,1.0,,High Net Worth,Widowed,,4970.0,,0.0,138340.06,,0
1105,3.0,Female,University,No loan,10.0,37.0,,,Germany,,0.0,131924.38,,122.571243048415,,Married,50.0,,636.0,,97325.15,1.0,0
1106,3.0,Male,,No loan,9.0,23.0,Ni,29.0,,0.0,,,1.0,,Mass Market,Married,52.0,,712.0,1.0,,,0
1107,8.0,,University,No loan,10.0,32.0,,52.0,Spain,0.0,,179291.85,,175.429342062806,,,77.0,290.0,751.0,1.0,0.0,,0
1108,8.0,,University,No loan,8.0,,Chou,37.0,France,0.0,1.0,97893.32,1.0,36.4229977562966,Mass Market,Married,71.0,2921.0,503.0,1.0,0.0,2.0,0
1109,7.0,,High School,No loan,9.0,33.0,Atkins,31.0,Spain,0.0,1.0,,1.0,87.2714714486336,Affluent,Single,69.0,1118.0,,1.0,0.0,1.0,0
1110,,Male,,,5.0,29.0,Sinclair,35.0,France,,1.0,60407.93,1.0,158.550463759884,Affluent,Single,72.0,5243.0,715.0,1.0,141005.47,1.0,0
1111,8.0,Female,,No loan,2.0,,,52.0,Germany,0.0,0.0,131473.31,1.0,,,,92.0,5324.0,711.0,1.0,145262.54,1.0,0
1112,,,Postgraduate,Default risk,,36.0,Millar,,France,2.0,1.0,36721.4,,63.5466282184141,High Net Worth,,67.0,706.0,,,99824.45,1.0,0
1113,,Female,High School,,2.0,,Shaw,35.0,,,1.0,56518.0,,112.910134762146,,Single,,5207.0,529.0,1.0,,,0
1114,1.0,,High School,,4.0,35.0,,47.0,,0.0,0.0,96517.97,1.0,,,Single,,5030.0,,0.0,64430.06,2.0,0
1115,5.0,Female,University,No loan,10.0,29.0,Korovin,36.0,Spain,0.0,,152979.14,1.0,,,Married,65.0,1454.0,686.0,1.0,0.0,2.0,0
1116,4.0,,,No loan,9.0,28.0,Kazakova,39.0,France,0.0,,171716.81,,139.048205901948,Mass Market,Married,,2124.0,683.0,,0.0,2.0,0
1117,3.0,Male,,Active loan,,32.0,,50.0,Spain,,0.0,131048.36,1.0,229.255024719887,Affluent,,,,621.0,1.0,,1.0,0
1118,7.0,Male,University,No loan,9.0,,,41.0,,0.0,,14496.67,,143.153938181307,Mass Market,Married,59.0,4053.0,617.0,1.0,0.0,2.0,0
1119,3.0,,University,No loan,,39.0,Lombardi,,Germany,0.0,0.0,5566.6,,,Mass Market,,54.0,3201.0,696.0,,150604.52,1.0,0
1120,7.0,,,No loan,2.0,24.0,Sinclair,37.0,France,0.0,,,1.0,216.157516285586,,Single,63.0,,581.0,1.0,0.0,2.0,0
1121,7.0,Male,High School,No loan,2.0,36.0,Howe,28.0,Spain,,1.0,,1.0,91.6446425075168,Affluent,Single,,3848.0,575.0,,,,0
1122,3.0,,High School,No loan,2.0,35.0,Brierly,,France,0.0,,23305.01,0.0,,Affluent,Single,49.0,2623.0,,1.0,120962.13,1.0,0
1123,,Male,Other,,,27.0,,54.0,,4.0,0.0,139735.54,,117.514856221754,High Net Worth,Widowed,45.0,810.0,700.0,,,,0
1125,,Male,High School,No loan,2.0,34.0,,63.0,Spain,0.0,,,0.0,61.2703752176879,Affluent,,,676.0,529.0,,96134.11,3.0,1
1126,1.0,Female,University,No loan,8.0,23.0,,45.0,Spain,0.0,1.0,,0.0,267.047221898103,Mass Market,,63.0,2114.0,,,0.0,,1
1127,,Male,,No loan,10.0,25.0,,,,0.0,,10883.52,0.0,72.9458583808251,,Married,,4454.0,696.0,,0.0,,0
1129,,Male,,No loan,,25.0,O'Meara,42.0,France,0.0,1.0,23399.58,1.0,100.449339934245,Mass Market,Married,60.0,4855.0,,1.0,50194.59,1.0,0
1130,7.0,,High School,No loan,2.0,27.0,Onochie,41.0,France,0.0,1.0,13871.34,0.0,,Affluent,Single,76.0,5866.0,534.0,1.0,0.0,2.0,0
1131,,Female,High School,Active loan,,,Sabbatini,33.0,France,0.0,0.0,198208.0,0.0,76.1132608653805,,Single,,4737.0,,0.0,0.0,,0
1132,2.0,,University,,10.0,,Long,33.0,,,1.0,65222.48,1.0,244.473132355642,,,59.0,3300.0,,,167733.51,2.0,0
1133,2.0,Female,University,No loan,9.0,28.0,,47.0,,0.0,1.0,,,80.4049183363492,Mass Market,Married,69.0,4209.0,556.0,1.0,139914.27,1.0,0
1134,1.0,Male,University,No loan,10.0,34.0,T'ien,46.0,,0.0,1.0,82106.19,0.0,,Mass Market,Married,60.0,6157.0,678.0,1.0,165149.13,2.0,0
1135,,,Postgraduate,,3.0,,Manna,48.0,Germany,,0.0,,0.0,,High Net Worth,Divorced,60.0,,681.0,,,2.0,0
1136,1.0,,University,No loan,10.0,23.0,,32.0,,0.0,0.0,149558.83,0.0,,Mass Market,Married,49.0,5184.0,713.0,1.0,117094.02,1.0,1
1138,,,Postgraduate,Active loan,3.0,24.0,Griffin,37.0,Germany,1.0,0.0,176487.05,1.0,153.235256336399,High Net Worth,Divorced,42.0,5220.0,,0.0,143625.83,2.0,0
1139,0.0,Male,,Default risk,1.0,24.0,Oluchukwu,42.0,,2.0,1.0,160828.98,1.0,24.4975531132336,High Net Worth,Divorced,,1953.0,682.0,0.0,0.0,1.0,0
1140,2.0,Female,,No loan,5.0,,Thornton,,Germany,0.0,,,0.0,73.7082303646653,,Single,,1816.0,,1.0,110086.69,1.0,0
1141,,Female,University,,10.0,,,85.0,France,0.0,1.0,116537.96,1.0,59.6963795032697,Mass Market,Married,59.0,,787.0,,,2.0,0
1142,9.0,,University,No loan,,27.0,,35.0,,0.0,,,0.0,43.1899949590137,Mass Market,Married,61.0,5881.0,,1.0,107944.33,,0
1143,8.0,,,No loan,10.0,,,35.0,,,1.0,,,48.6923974008655,,,67.0,629.0,728.0,1.0,125884.95,2.0,1
1144,5.0,Male,High School,,,34.0,Yelverton,36.0,Spain,,0.0,153831.6,1.0,,Affluent,Single,42.0,6314.0,766.0,1.0,,1.0,0
1145,3.0,Female,,Active loan,3.0,,Forbes,,Germany,,1.0,,1.0,188.900207899339,,,54.0,1255.0,,0.0,,,0
1146,0.0,Male,University,No loan,,,Herbert,,Spain,0.0,1.0,96202.44,1.0,81.0454003430037,Mass Market,Married,74.0,6586.0,846.0,1.0,0.0,2.0,0
1147,5.0,Male,High School,Active loan,,37.0,Woronoff,38.0,Germany,0.0,1.0,140197.42,1.0,71.9611732340112,Affluent,Single,53.0,1897.0,745.0,0.0,,2.0,0
1148,1.0,Male,University,No loan,,32.0,,,Germany,0.0,,70705.58,0.0,254.975739687984,Mass Market,Married,63.0,4435.0,608.0,,,2.0,0
1149,4.0,Male,University,,8.0,30.0,Akhtar,,France,0.0,,36275.94,0.0,46.2741818226581,,Married,,3574.0,,1.0,120037.96,,0
1150,0.0,,,Active loan,4.0,33.0,Lombardo,45.0,France,0.0,1.0,,0.0,88.1660962888738,Affluent,Single,56.0,29.0,475.0,0.0,134264.04,1.0,1
1151,6.0,Female,Other,,,30.0,,34.0,Spain,3.0,0.0,196555.32,0.0,107.099389460784,High Net Worth,Widowed,,1458.0,,0.0,144855.34,,0
1152,8.0,,Postgraduate,Default risk,0.0,34.0,Kwemto,38.0,France,2.0,1.0,68093.23,,65.4799625550171,High Net Worth,,51.0,916.0,542.0,0.0,65942.26,1.0,1
1153,2.0,Female,University,No loan,,33.0,Lai,31.0,,0.0,0.0,81778.72,0.0,,Mass Market,Married,,4999.0,785.0,1.0,121691.54,2.0,0
1154,,,University,No loan,10.0,24.0,Storey,36.0,,0.0,0.0,,1.0,,Mass Market,Married,46.0,2527.0,,1.0,0.0,2.0,0
1155,,Female,,No loan,8.0,31.0,,35.0,,0.0,,69079.85,,79.4164582332518,Mass Market,,,,696.0,1.0,174902.26,1.0,0
1156,10.0,Female,Postgraduate,,0.0,22.0,Y?an,,Spain,,1.0,,0.0,107.003874680464,,,,1619.0,651.0,0.0,135923.16,,0
1158,3.0,Female,University,No loan,8.0,26.0,Pai,24.0,,0.0,1.0,102195.16,1.0,156.315882190921,Mass Market,,,2364.0,688.0,,0.0,,0
1159,7.0,Male,Postgraduate,Active loan,,32.0,Henderson,,France,1.0,1.0,133172.48,1.0,200.72610529005,High Net Worth,Divorced,63.0,758.0,732.0,,126195.81,,0
1160,8.0,Male,University,,,32.0,Angelo,,Spain,0.0,0.0,76259.23,0.0,72.6703999585907,,Married,82.0,4283.0,655.0,,163708.58,2.0,0
1161,3.0,Male,,No loan,9.0,,De Luca,,Germany,0.0,1.0,167461.5,,80.0188390118418,Mass Market,Married,,6370.0,435.0,1.0,151739.65,1.0,0
1162,2.0,Male,Postgraduate,,,,,,Germany,2.0,,105898.69,,85.7300152738845,High Net Worth,Divorced,,,593.0,0.0,187013.13,2.0,0
1163,3.0,Female,,Default risk,0.0,,Rahman,28.0,Spain,3.0,1.0,45042.56,0.0,44.7642950876657,High Net Worth,Widowed,83.0,443.0,,0.0,142253.65,1.0,0
1164,,,,No loan,2.0,,Benson,,Germany,,1.0,110359.68,1.0,117.245974773888,Affluent,,,2397.0,665.0,1.0,,1.0,1
1165,8.0,Male,Postgraduate,,7.0,35.0,Yin,34.0,,1.0,1.0,,,82.9710813467849,High Net Worth,Divorced,45.0,,691.0,,133936.04,2.0,0
1166,,Male,University,No loan,10.0,,Utz,45.0,,0.0,,27474.81,,45.3398047854763,Mass Market,Married,36.0,311.0,702.0,1.0,,,0
1167,,Female,University,No loan,9.0,35.0,Christmas,36.0,Spain,0.0,0.0,157238.05,,127.327601607209,Mass Market,Married,,,,1.0,0.0,2.0,0
1168,0.0,Male,High School,No loan,9.0,36.0,Henderson,42.0,Germany,0.0,0.0,125435.47,,160.314058643624,Affluent,Single,59.0,,,1.0,115915.53,,1
1169,7.0,Male,Postgraduate,Default risk,1.0,,,32.0,,2.0,0.0,,1.0,277.667685886018,High Net Worth,,,6854.0,553.0,,64082.09,1.0,0
1170,6.0,Male,University,No loan,9.0,29.0,Gibney,44.0,,0.0,,79071.89,0.0,140.107107679204,Mass Market,Married,,5558.0,657.0,,76495.04,1.0,0
1171,,Female,University,No loan,8.0,28.0,H?,54.0,Spain,0.0,1.0,66963.15,,71.4027297203607,Mass Market,Married,61.0,2907.0,,1.0,120952.74,,0
1172,6.0,Male,University,No loan,,29.0,,,Germany,0.0,,8018.49,1.0,98.7052584463502,Mass Market,Married,47.0,1286.0,696.0,1.0,142316.14,1.0,0
1173,4.0,Female,University,,10.0,33.0,King,,,0.0,1.0,199256.98,1.0,,,Married,38.0,2692.0,609.0,1.0,,1.0,0
1174,8.0,Female,University,,9.0,35.0,Teng,44.0,France,0.0,,5708.19,1.0,219.360003004807,Mass Market,Married,,5526.0,673.0,,,1.0,0
1175,4.0,Female,University,No loan,,36.0,White,,France,0.0,1.0,,,203.894138655926,,Married,65.0,1113.0,735.0,,0.0,2.0,0
1176,2.0,Female,University,No loan,9.0,22.0,Tang,42.0,,,1.0,2150.22,0.0,77.1245956797214,,Married,,3130.0,783.0,1.0,139707.28,1.0,0
1177,,,Postgraduate,Active loan,,,,,France,1.0,1.0,75808.1,1.0,,High Net Worth,Divorced,,389.0,508.0,,,2.0,0
1178,0.0,Female,,,9.0,,,24.0,France,0.0,1.0,88724.49,0.0,54.2079164971336,Mass Market,Married,48.0,3152.0,764.0,1.0,,2.0,0
1179,2.0,Male,High School,Active loan,6.0,25.0,,28.0,Germany,,1.0,,1.0,61.3874391411293,Affluent,Single,,5927.0,850.0,0.0,101100.22,2.0,0
1180,6.0,Male,High School,,4.0,16.0,,33.0,,0.0,0.0,,0.0,92.8967478873429,,,75.0,1312.0,,0.0,0.0,2.0,0
1181,,Female,University,No loan,8.0,20.0,Clements,29.0,,,1.0,,1.0,,Mass Market,Married,,28.0,,,0.0,2.0,0
1182,7.0,,,,8.0,,Dale,29.0,France,,1.0,,1.0,,Mass Market,Married,49.0,3125.0,669.0,1.0,0.0,,0
1183,10.0,Male,University,,9.0,27.0,,56.0,,0.0,1.0,,1.0,58.2453816721502,Mass Market,Married,61.0,2870.0,762.0,,,3.0,1
1184,,,High School,Active loan,4.0,35.0,Chou,30.0,Spain,0.0,,96555.42,,149.218338603836,Affluent,Single,72.0,2315.0,,0.0,103138.17,,0
1185,4.0,,University,No loan,8.0,36.0,Smith,20.0,,0.0,,140385.33,,,Mass Market,,78.0,740.0,723.0,1.0,0.0,,0
1186,2.0,,,Default risk,,31.0,Welch,34.0,Germany,2.0,0.0,194584.48,0.0,125.052030640498,,Divorced,66.0,,,0.0,,1.0,0
1187,5.0,Male,High School,,7.0,38.0,,45.0,France,0.0,1.0,121428.2,1.0,,Affluent,Single,69.0,,523.0,0.0,0.0,2.0,0
1188,10.0,Female,,,6.0,30.0,George,,Spain,0.0,,,,110.352164867074,Affluent,Single,32.0,1998.0,714.0,,,,0
1189,8.0,Male,University,No loan,10.0,24.0,,37.0,France,,1.0,,0.0,239.727003170003,,,68.0,,701.0,1.0,107798.85,1.0,0
1190,5.0,Female,University,,10.0,35.0,,,Germany,0.0,1.0,134594.99,,102.12386328769,Mass Market,Married,84.0,803.0,593.0,1.0,101713.84,,0
1191,6.0,,University,No loan,,26.0,Ko,,France,0.0,,58879.11,1.0,,,Married,,6392.0,,,,2.0,0
1192,3.0,,High School,No loan,9.0,29.0,Gant,22.0,Spain,,1.0,,0.0,75.6395208626106,Mass Market,Married,52.0,65.0,750.0,1.0,121681.82,1.0,1
1193,10.0,Female,,No loan,2.0,,Chibueze,29.0,,0.0,,199775.67,1.0,52.2153572346988,Affluent,Single,58.0,2726.0,850.0,1.0,,,0
1194,,,,,2.0,38.0,,,,0.0,0.0,17135.6,1.0,146.364082862077,Affluent,,22.0,5975.0,,1.0,0.0,2.0,0
1195,6.0,Male,High School,,,41.0,Achebe,38.0,,,1.0,57517.71,1.0,,Affluent,,34.0,6178.0,,1.0,181804.34,2.0,0
1196,4.0,Male,,,0.0,,Moore,,France,,1.0,,0.0,,High Net Worth,Widowed,57.0,,841.0,,,,0
